game,state,date,position,result
PTN,SP,2018-05-25,3,9318
PTN,SP,2018-05-25,4,2791
PTN,SP,2018-05-25,5,7865
PTN,SP,2018-05-25,6,4600
PT,SP,2018-05-25,25,2018
PT,SP,2018-05-25,1,3030
PT,SP,2018-05-25,2,1571
CORUJA,RJ,2018-05-24,2,1220
CORUJA,RJ,2018-05-24,3,8869
CORUJA,RJ,2018-05-24,4,6034
CORUJA,RJ,2018-05-24,5,7248
CORUJA,RJ,2018-05-24,6,5985
CORUJA,RJ,2018-05-23,1,9438
CORUJA,RJ,2018-05-23,2,8290
CORUJA,RJ,2018-05-23,3,8462
CORUJA,RJ,2018-05-23,4,6464
CORUJA,RJ,2018-05-23,5,8705
CORUJA,RJ,2018-05-23,6,1359
CORUJA,RJ,2018-05-22,1,2389
PT,SP,2018-05-25,3,8009
PT,SP,2018-05-25,4,7457
PT,SP,2018-05-25,5,4950
PT,SP,2018-05-25,6,5017
PT,RJ,2018-03-06,1,5075
PT,RJ,2018-03-06,2,9576
PT,RJ,2018-03-06,3,9616
PT,RJ,2018-03-06,4,4391
PT,RJ,2018-03-06,5,6307
PT,RJ,2018-03-06,6,4965
PT,RJ,2018-02-06,1,5166
CORUJA,RJ,2018-05-22,2,1870
CORUJA,RJ,2018-05-22,3,8220
CORUJA,RJ,2018-05-22,4,6681
CORUJA,RJ,2018-05-22,5,0071
CORUJA,RJ,2018-05-22,6,9231
CORUJA,RJ,2018-05-22,1,2389
CORUJA,RJ,2018-05-22,2,1870
CORUJA,RJ,2018-05-22,3,8220
CORUJA,RJ,2018-05-22,4,6681
CORUJA,RJ,2018-05-22,5,0071
CORUJA,RJ,2018-05-22,6,9231
PT,RJ,2018-02-06,2,9906
PT,RJ,2018-02-06,3,6823
PT,RJ,2018-02-06,4,8820
PT,RJ,2018-02-06,5,7313
PT,RJ,2018-02-06,6,8028
PT,RJ,2018-01-06,1,1063
PT,RJ,2018-01-06,2,3359
PT,RJ,2018-01-06,3,4984
PT,RJ,2018-01-06,4,3710
PT,RJ,2018-01-06,5,2826
PT,RJ,2018-01-06,6,5942
PT,RJ,2018-05-31,1,9484
PT,RJ,2018-05-31,2,9123
PT,RJ,2018-05-31,3,5525
PT,RJ,2018-05-31,4,2769
PT,RJ,2018-05-31,5,2441
PT,RJ,2018-05-31,6,9342
PT,RJ,2018-05-30,1,3946
PT,RJ,2018-05-30,2,8046
PT,RJ,2018-05-30,3,8414
PT,RJ,2018-05-30,4,0566
PT,RJ,2018-05-30,5,3678
PT,RJ,2018-05-30,6,4650
PT,RJ,2018-05-29,1,0872
PT,RJ,2018-05-29,2,9563
PT,RJ,2018-05-29,3,3945
PT,RJ,2018-05-29,4,2284
PT,RJ,2018-05-29,5,0759
PT,RJ,2018-05-29,6,7423
PT,RJ,2018-05-28,1,8988
PT,RJ,2018-05-28,2,9430
PT,RJ,2018-05-28,3,2305
PT,RJ,2018-05-28,4,5844
PT,RJ,2018-05-28,5,1135
PT,RJ,2018-05-28,6,7702
PTM,RJ,2018-05-20,1,2411
PTM,RJ,2018-05-20,2,7039
PTM,RJ,2018-05-20,3,6063
PTM,RJ,2018-05-20,4,0276
PTM,RJ,2018-05-20,5,3792
PTM,RJ,2018-05-20,6,9581
PTM,RJ,2018-05-19,1,1495
PTM,RJ,2018-05-19,2,2100
PTM,RJ,2018-05-19,3,5568
PTM,RJ,2018-05-19,4,6948
PTM,RJ,2018-05-19,5,7481
PTM,RJ,2018-05-19,6,3592
PTM,RJ,2018-05-18,1,2548
PTM,RJ,2018-05-18,2,9439
PTM,RJ,2018-05-18,3,6660
PTM,RJ,2018-05-18,4,5886
PTM,RJ,2018-05-18,5,3876
PTM,RJ,2018-05-18,6,8409
PTM,RJ,2018-05-17,1,5943
PTM,RJ,2018-05-17,2,4605
PTM,RJ,2018-05-17,3,9855
PTM,RJ,2018-05-17,4,9725
PTM,RJ,2018-05-17,5,1854
PTM,RJ,2018-05-17,6,2082
PTM,RJ,2018-05-16,1,2128
PTM,RJ,2018-05-16,2,5788
PTM,RJ,2018-05-16,3,8923
PTM,RJ,2018-05-16,4,6815
PTM,RJ,2018-05-16,5,9641
PTM,RJ,2018-05-16,6,3295
PTM,RJ,2018-05-15,1,8460
PTM,RJ,2018-05-15,2,7023
PTM,RJ,2018-05-15,3,8056
PTM,RJ,2018-05-15,4,2895
PTM,RJ,2018-05-15,5,7873
PTM,RJ,2018-05-15,6,4307
PTM,RJ,2018-05-14,1,7073
PTM,RJ,2018-05-14,2,5932
PTM,RJ,2018-05-14,3,4900
PTM,RJ,2018-05-14,4,8455
PTM,RJ,2018-05-14,5,2118
PTM,RJ,2018-05-14,6,8478
CORUJA,RJ,2018-05-21,1,8328
CORUJA,RJ,2018-05-21,2,1856
CORUJA,RJ,2018-05-21,3,9303
CORUJA,RJ,2018-05-21,4,8825
CORUJA,RJ,2018-05-21,5,5348
CORUJA,RJ,2018-05-21,6,3660
CORUJA,RJ,2018-05-19,1,5369
CORUJA,RJ,2018-05-19,2,6138
CORUJA,RJ,2018-05-19,3,9757
CORUJA,RJ,2018-05-19,4,2975
CORUJA,RJ,2018-05-19,5,4956
CORUJA,RJ,2018-05-19,6,9195
CORUJA,RJ,2018-05-19,1,5369
PTN,SP,2018-05-24,24,2018
PTN,SP,2018-05-24,1,3544
PTN,SP,2018-05-24,2,9742
PTN,SP,2018-05-24,3,2103
PTN,SP,2018-05-24,4,4773
PTN,SP,2018-05-24,5,9670
PTN,SP,2018-05-24,6,9832
PT,SP,2018-05-24,24,2018
PT,RJ,2018-05-27,1,6155
PT,RJ,2018-05-27,2,2493
PT,RJ,2018-05-27,3,3985
PT,RJ,2018-05-27,4,0367
PT,RJ,2018-05-27,5,2544
PT,RJ,2018-05-27,6,5544
PT,RJ,2018-05-27,1,6155
CORUJA,RJ,2018-05-19,2,6138
CORUJA,RJ,2018-05-19,3,9757
CORUJA,RJ,2018-05-19,4,2975
CORUJA,RJ,2018-05-19,5,4956
CORUJA,RJ,2018-05-19,6,9195
CORUJA,RJ,2018-05-18,1,2183
CORUJA,RJ,2018-05-18,2,8309
CORUJA,RJ,2018-05-18,3,5983
CORUJA,RJ,2018-05-18,4,9994
CORUJA,RJ,2018-05-18,5,9976
CORUJA,RJ,2018-05-18,6,5545
CORUJA,RJ,2018-05-17,1,8973
